DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
1.359799,-2.598711,1.268353
1.430965,-2.598893,1.196517
1.500917,-2.596472,1.123257
1.569412,-2.591359,1.048729
1.636212,-2.583470,0.973089
1.701090,-2.572730,0.896491
1.763845,-2.559080,0.819077
1.824307,-2.542480,0.740978
1.882343,-2.522914,0.662312
1.937861,-2.500388,0.583179
1.990812,-2.474935,0.503660
2.041186,-2.446613,0.423823
2.089016,-2.415501,0.343716
2.134366,-2.381699,0.263374
2.177327,-2.345322,0.182821
2.218011,-2.306494,0.102072
2.256537,-2.265346,0.021137
2.293027,-2.222006,-0.059976
2.327594,-2.176597,-0.141255
2.360331,-2.129228,-0.222683
