DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
-1.420879,-0.635769,2.088505
-1.366080,-0.705384,2.104038
-1.310273,-0.774392,2.117933
-1.253250,-0.842916,2.130108
-1.194799,-0.911041,2.140441
-1.134718,-0.978807,2.148769
-1.072824,-1.046203,2.154897
-1.008968,-1.113161,2.158607
-0.943049,-1.179559,2.159671
-0.875025,-1.245225,2.157866
-0.804925,-1.309944,2.152999
-0.732856,-1.373471,2.144923
-0.659008,-1.435544,2.133557
-0.583646,-1.495898,2.118895
-0.507101,-1.554284,2.101012
-0.429750,-1.610480,2.080059
-0.351996,-1.664301,2.056252
-0.274242,-1.715607,2.029858
-0.196876,-1.764304,2.001173
-0.120243,-1.810348,1.970506
-0.044634,-1.853735,1.938153
0.029730,-1.894503,1.904381
0.102714,-1.932722,1.869405
0.174274,-1.968491,1.833376
0.244459,-2.001923,1.796366
0.313408,-2.033146,1.758365
0.381338,-2.062286,1.719279
0.448524,-2.089456,1.678948
0.515271,-2.114752,1.637154
0.581891,-2.138241,1.593649
0.648666,-2.159957,1.548176
0.715828,-2.179899,1.500496
0.783535,-2.198030,1.450411
0.851857,-2.214282,1.397779
0.920769,-2.228561,1.342530
0.990150,-2.240751,1.284667
1.059792,-2.250726,1.224272
1.129409,-2.258351,1.161499
1.198647,-2.263493,1.096569
1.267111,-2.266029,1.029758
1.334375,-2.265848,0.961385
1.400009,-2.262864,0.891796
1.463603,-2.257013,0.821345
1.524789,-2.248264,0.750372
1.583265,-2.236614,0.679183
1.638816,-2.222095,0.608029
1.691321,-2.204766,0.537092
1.740763,-2.184709,0.466478
1.787223,-2.162029,0.396210
1.830871,-2.136842,0.326233
1.871950,-2.109270,0.256429
1.910754,-2.079443,0.186628
1.947607,-2.047484,0.116631
1.982833,-2.013513,0.046226
2.016738,-1.977639,-0.024785
2.049587,-1.939961,-0.096573
2.081576,-1.900559,-0.169258
2.112829,-1.859495,-0.242901
2.143376,-1.816812,-0.317494
2.173159,-1.772530,-0.392953
2.202027,-1.726651,-0.469124
2.229748,-1.679160,-0.545786
2.256030,-1.630026,-0.622670
2.280533,-1.579212,-0.699469
2.302901,-1.526675,-0.775863
2.322782,-1.472373,-0.851535
2.339850,-1.416270,-0.926192
2.353829,-1.358341,-0.999578
2.364501,-1.298573,-1.071486
2.371723,-1.236974,-1.141762
2.375428,-1.173572,-1.210312
2.375628,-1.108416,-1.277097
2.372411,-1.041582,-1.342130
2.365935,-0.973171,-1.405471
2.356416,-0.903305,-1.467214
2.344118,-0.832130,-1.527480
2.329331,-0.759805,-1.586401
2.312355,-0.686501,-1.644108
2.293481,-0.612394,-1.700718
2.272972,-0.537659,-1.756321
2.251046,-0.462463,-1.810967
2.227867,-0.386961,-1.864663
2.203531,-0.311289,-1.917368
2.178070,-0.235565,-1.968994
2.151453,-0.159878,-2.019414
2.123588,-0.084294,-2.068465
2.094335,-0.008852,-2.115965
2.063519,0.066436,-2.161720
2.030941,0.141578,-2.205535
1.996395,0.216604,-2.247228
1.959681,0.291554,-2.286635
1.920620,0.366471,-2.323619
1.879068,0.441399,-2.358076
1.834924,0.516368,-2.389939
1.788140,0.591391,-2.419173
1.738724,0.666457,-2.445779
1.686739,0.741528,-2.469784
1.632302,0.816533,-2.491238
1.575574,0.891371,-2.510206
1.516756,0.965909,-2.526761
1.456078,1.039991,-2.540973
1.393786,1.113433,-2.552910
1.330135,1.186041,-2.562630
1.265378,1.257610,-2.570179
1.199755,1.327936,-2.575591
1.133487,1.396825,-2.578890
1.066763,1.464103,-2.580086
0.999739,1.529618,-2.579180
0.932528,1.593254,-2.576161
0.865198,1.654926,-2.571013
0.797774,1.714591,-2.563710
0.730237,1.772240,-2.554225
0.662533,1.827897,-2.542524
0.594577,1.881618,-2.528576
0.526263,1.933475,-2.512350
0.457477,1.983559,-2.493822
0.388102,2.031962,-2.472970
0.318032,2.078772,-2.449780
0.247181,2.124064,-2.424243
0.175489,2.167891,-2.396354
0.102932,2.210276,-2.366117
0.029524,2.251208,-2.333540
-0.044675,2.290642,-2.298636
-0.119562,2.328495,-2.261430
-0.194989,2.364651,-2.221952
-0.270770,2.398965,-2.180247
-0.346682,2.431272,-2.136368
-0.422477,2.461394,-2.090385
-0.497893,2.489151,-2.042379
-0.572660,2.514372,-1.992443
-0.646517,2.536902,-1.940681
-0.719219,2.556612,-1.887208
-0.790550,2.573407,-1.832141
-0.860331,2.587230,-1.775600
-0.928427,2.598064,-1.717702
-0.994754,2.605934,-1.658558
-1.059280,2.610903,-1.598263
-1.122025,2.613069,-1.536898
-1.183058,2.612556,-1.474520
-1.242489,2.609507,-1.411165
-1.300460,2.604074,-1.346848
-1.357132,2.596408,-1.281560
-1.412671,2.586646,-1.215279
-1.467234,2.574909,-1.147970
-1.520952,2.561288,-1.079596
-1.573923,2.545843,-1.010122
-1.626193,2.528597,-0.939525
-1.677760,2.509538,-0.867800
-1.728559,2.488622,-0.794964
-1.778471,2.465773,-0.721062
-1.827321,2.440893,-0.646170
-1.874890,2.413871,-0.570394
-1.920923,2.384587,-0.493869
-1.965141,2.352927,-0.416760
-2.007258,2.318791,-0.339248
-2.046998,2.282100,-0.261533
-2.084107,2.242805,-0.183817
-2.118371,2.200892,-0.106303
-2.149627,2.156386,-0.029178
-2.177774,2.109350,0.047390
-2.202774,2.059886,0.123263
-2.224660,2.008126,0.198334
-2.243526,1.954232,0.272536
-2.259526,1.898383,0.345836
-2.272857,1.840771,0.418238
-2.283749,1.781588,0.489776
-2.292447,1.721019,0.560506
-2.299197,1.659235,0.630500
-2.304224,1.596383,0.699835
-2.307719,1.532580,0.768583
-2.309827,1.467916,0.836797
-2.310632,1.402443,0.904510
-2.310155,1.336184,0.971719
-2.308351,1.269133,1.038387
-2.305111,1.201259,1.104434
-2.300269,1.132515,1.169745
-2.293617,1.062843,1.234167
-2.284917,0.992185,1.297522
-2.273917,0.920490,1.359609
-2.260373,0.847719,1.420221
-2.244061,0.773856,1.479149
-2.224798,0.698913,1.536196
-2.202449,0.622928,1.591188
-2.176944,0.545973,1.643978
-2.148278,0.468151,1.694458
-2.116515,0.389593,1.742556
-2.081785,0.310456,1.788243
-2.044277,0.230915,1.831529
-2.004227,0.151159,1.872460
-1.961907,0.071381,1.911112
-1.917606,-0.008227,1.947581
-1.871615,-0.087483,1.981975
-1.824209,-0.166222,2.014405
-1.775635,-0.244301,2.044969
-1.726093,-0.321599,2.073752
-1.675732,-0.398027,2.100811
-1.624640,-0.473520,2.126171
-1.572844,-0.548043,2.149823
-1.520312,-0.621584,2.171726
-1.466960,-0.694152,2.191801
-1.412660,-0.765769,2.209944
-1.357254,-0.836466,2.226028
-1.300568,-0.906277,2.239913
-1.242428,-0.975232,2.251450
-1.182674,-1.043350,2.260500
-1.121175,-1.110636,2.266933
-1.057841,-1.177073,2.270643
-0.992633,-1.242625,2.271551
-0.925568,-1.307231,2.269612
-0.856720,-1.370807,2.264815
-0.786220,-1.433247,2.257184
-0.714251,-1.494427,2.246777
-0.641035,-1.554211,2.233679
-0.566829,-1.612452,2.218001
-0.491907,-1.668997,2.199864
-0.416549,-1.723701,2.179402
-0.341025,-1.776422,2.156747
-0.265589,-1.827034,2.132024
-0.190460,-1.875427,2.105346
-0.115820,-1.921513,2.076805
-0.041803,-1.965228,2.046473
0.031505,-2.006532,2.014396
0.104065,-2.045409,1.980598
0.175886,-2.081866,1.945075
0.247015,-2.115927,1.907807
0.317531,-2.147635,1.868755
0.387533,-2.177043,1.827873
0.457132,-2.204208,1.785107
0.526438,-2.229190,1.740407
0.595549,-2.252043,1.693729
0.664540,-2.272814,1.645042
0.733458,-2.291534,1.594333
0.802312,-2.308220,1.541608
0.871072,-2.322871,1.486897
0.939668,-2.335466,1.430251
1.007987,-2.345967,1.371744
1.075883,-2.354318,1.311470
1.143175,-2.360450,1.249540
1.209661,-2.364285,1.186078
1.275125,-2.365737,1.121220
1.339344,-2.364721,1.055104
1.402101,-2.361156,0.987867
1.463190,-2.354971,0.919646
1.522428,-2.346108,0.850566
1.579660,-2.334527,0.780745
1.634766,-2.320210,0.710283
1.687661,-2.303160,0.639271
1.738300,-2.283403,0.567781
1.786673,-2.260990,0.495871
1.832807,-2.235990,0.423587
1.876758,-2.208492,0.350959
1.918606,-2.178598,0.278011
1.958449,-2.146421,0.204757
1.996394,-2.112075,0.131208
2.032546,-2.075677,0.057374
2.067004,-2.037335,-0.016733
2.099851,-1.997149,-0.091095
